arch,attack,n_adv,cpop,fs,lid,maha,kd
resnet20,FGSM,200,1.0,0.478,0.653,0.512,0.251
resnet20,PGD,200,1.0,0.631,0.901,1.0,1.0
resnet20,BIM,200,1.0,0.583,0.914,1.0,1.0
resnet20,MIFGSM,200,1.0,0.542,0.971,1.0,1.0
resnet20,APGD,200,1.0,0.544,0.951,1.0,1.0
resnet20,AutoAttack,120,1.0,0.595,0.558,0.993,0.998
resnet20,CW,120,0.826,0.702,0.626,0.403,0.244
resnet20,DeepFool,120,0.577,0.479,0.684,0.408,0.195
resnet20,Square,120,0.868,0.515,0.72,0.454,0.199
resnet56,FGSM,200,1.0,0.5,0.689,0.733,0.273
resnet56,PGD,200,1.0,0.715,0.89,0.994,1.0
resnet56,BIM,200,1.0,0.701,0.876,0.997,0.999
resnet56,MIFGSM,200,1.0,0.641,0.944,1.0,1.0
resnet56,APGD,200,1.0,0.7,0.942,0.998,1.0
resnet56,AutoAttack,120,1.0,0.744,0.824,0.961,0.972
resnet56,CW,120,0.859,0.719,0.734,0.669,0.176
resnet56,DeepFool,120,0.683,0.584,0.733,0.683,0.094
resnet56,Square,120,0.868,0.595,0.719,0.753,0.131
vgg16_bn,FGSM,200,1.0,0.552,0.661,0.681,0.328
vgg16_bn,PGD,200,1.0,0.706,0.838,0.817,0.955
vgg16_bn,BIM,200,1.0,0.651,0.845,0.833,0.944
vgg16_bn,MIFGSM,200,1.0,0.638,0.873,0.841,0.95
vgg16_bn,APGD,200,1.0,0.678,0.887,0.844,0.97
vgg16_bn,AutoAttack,120,1.0,0.701,0.755,0.772,0.867
vgg16_bn,CW,120,0.848,0.574,0.828,0.899,0.121
vgg16_bn,DeepFool,120,0.848,0.582,0.813,0.817,0.165
vgg16_bn,Square,120,0.909,0.432,0.808,0.957,0.044
mobilenetv2,FGSM,200,1.0,0.498,0.621,0.572,0.235
mobilenetv2,PGD,200,1.0,0.711,0.788,0.973,0.971
mobilenetv2,BIM,200,1.0,0.676,0.805,0.975,0.961
mobilenetv2,MIFGSM,200,1.0,0.622,0.896,0.986,0.958
mobilenetv2,APGD,200,1.0,0.72,0.859,0.99,0.983
mobilenetv2,AutoAttack,120,1.0,0.727,0.558,0.913,0.938
mobilenetv2,CW,120,0.862,0.607,0.692,0.643,0.247
mobilenetv2,DeepFool,120,0.677,0.48,0.748,0.668,0.156
mobilenetv2,Square,120,0.831,0.517,0.729,0.758,0.226
repvgg_a2,FGSM,200,1.0,0.509,0.673,0.704,0.274
repvgg_a2,PGD,200,1.0,0.75,0.864,0.938,1.0
repvgg_a2,BIM,200,1.0,0.723,0.885,0.938,0.997
repvgg_a2,MIFGSM,200,1.0,0.681,0.933,0.973,0.986
repvgg_a2,APGD,200,1.0,0.697,0.936,0.96,1.0
repvgg_a2,AutoAttack,120,1.0,0.695,0.801,0.879,0.938
repvgg_a2,CW,120,0.858,0.671,0.728,0.767,0.117
repvgg_a2,DeepFool,120,0.796,0.579,0.732,0.761,0.053
repvgg_a2,Square,120,0.885,0.567,0.698,0.874,0.039
shufflenetv2,FGSM,200,1.0,0.487,0.614,0.57,0.295
shufflenetv2,PGD,200,1.0,0.668,0.785,0.94,0.997
shufflenetv2,BIM,200,1.0,0.615,0.797,0.947,1.0
shufflenetv2,MIFGSM,200,1.0,0.571,0.87,0.969,0.988
shufflenetv2,APGD,200,1.0,0.669,0.831,0.955,1.0
shufflenetv2,AutoAttack,120,1.0,0.706,0.671,0.835,0.963
shufflenetv2,CW,120,0.84,0.571,0.659,0.666,0.183
shufflenetv2,DeepFool,120,0.744,0.506,0.67,0.69,0.102
shufflenetv2,Square,120,0.865,0.515,0.692,0.771,0.19
