arch,type,eps255,n_adv,cpop,cpop_lo,cpop_hi,fs,fs_lo,fs_hi,lid,lid_lo,lid_hi,lid_ext,lid_ext_lo,lid_ext_hi,fs_tuned,fs_tuned_lo,fs_tuned_hi,fs_tuned_sq
resnet50,CNN,2,300,0.715,0.676,0.755,0.991,0.985,0.995,0.527,0.481,0.571,0.527,0.481,0.571,0.989,0.977,0.997,fs_bit3
resnet50,CNN,4,300,0.907,0.88,0.934,0.986,0.978,0.992,0.567,0.522,0.611,0.567,0.522,0.611,0.99,0.982,0.996,fs_bit2
resnet50,CNN,8,300,0.991,0.981,0.998,0.939,0.918,0.958,0.613,0.571,0.659,0.613,0.571,0.659,0.989,0.98,0.995,fs_bit2
vgg16,CNN,2,300,0.705,0.665,0.747,0.727,0.683,0.767,0.813,0.781,0.845,0.516,0.47,0.559,0.772,0.718,0.821,fs_bit1
vgg16,CNN,4,300,0.897,0.866,0.925,0.483,0.434,0.531,0.943,0.927,0.96,0.529,0.484,0.572,0.8,0.746,0.847,fs_bit1
vgg16,CNN,8,300,0.989,0.978,0.997,0.244,0.208,0.282,0.988,0.981,0.994,0.548,0.503,0.593,0.813,0.759,0.858,fs_bit1
densenet121,CNN,2,300,0.699,0.658,0.741,0.693,0.649,0.736,0.741,0.704,0.78,0.511,0.466,0.555,0.835,0.788,0.879,fs_bit2
densenet121,CNN,4,300,0.895,0.866,0.925,0.435,0.389,0.483,0.871,0.844,0.899,0.528,0.479,0.573,0.843,0.795,0.888,fs_bit1
densenet121,CNN,8,300,0.989,0.978,0.997,0.225,0.184,0.265,0.93,0.908,0.948,0.551,0.505,0.597,0.842,0.796,0.887,fs_bit1
mobilenet_v3_large,CNN,2,300,0.696,0.652,0.741,0.939,0.917,0.959,0.859,0.829,0.888,0.51,0.462,0.553,0.975,0.959,0.989,fs_bit2
mobilenet_v3_large,CNN,4,300,0.895,0.866,0.925,0.834,0.8,0.864,0.934,0.913,0.952,0.516,0.467,0.561,0.973,0.956,0.986,fs_bit1
mobilenet_v3_large,CNN,8,300,0.989,0.978,0.997,0.663,0.617,0.709,0.95,0.932,0.966,0.538,0.491,0.583,0.963,0.943,0.979,fs_bit1
convnext_tiny,CNN,2,300,0.729,0.687,0.773,0.962,0.946,0.977,0.789,0.755,0.828,0.506,0.458,0.549,0.985,0.972,0.995,fs_bit2
convnext_tiny,CNN,4,300,0.915,0.888,0.941,0.922,0.899,0.945,0.792,0.757,0.829,0.518,0.472,0.561,0.974,0.958,0.987,fs_bit2
convnext_tiny,CNN,8,300,0.992,0.983,0.998,0.88,0.846,0.91,0.779,0.743,0.817,0.542,0.496,0.587,0.943,0.919,0.966,fs_bit2
vit_b_16,Transformer,2,300,0.683,0.639,0.726,0.781,0.744,0.819,0.613,0.571,0.659,0.503,0.457,0.549,0.891,0.853,0.924,fs_bit2
vit_b_16,Transformer,4,300,0.877,0.844,0.909,0.683,0.642,0.725,0.655,0.614,0.701,0.515,0.471,0.559,0.922,0.891,0.948,fs_bit1
vit_b_16,Transformer,8,300,0.985,0.974,0.995,0.61,0.566,0.656,0.682,0.641,0.721,0.526,0.479,0.572,0.874,0.834,0.912,fs_bit1
swin_t,Transformer,2,300,0.741,0.701,0.785,0.942,0.923,0.959,0.784,0.748,0.82,0.506,0.458,0.55,0.957,0.936,0.975,fs_bit2
swin_t,Transformer,4,300,0.924,0.899,0.948,0.87,0.839,0.898,0.82,0.787,0.852,0.514,0.467,0.559,0.947,0.922,0.969,fs_bit2
swin_t,Transformer,8,300,0.993,0.985,0.999,0.817,0.78,0.852,0.868,0.839,0.894,0.524,0.477,0.568,0.959,0.937,0.978,fs_bit1
maxvit_t,Transformer,2,300,0.726,0.685,0.768,0.97,0.958,0.98,0.647,0.604,0.69,0.505,0.46,0.551,0.976,0.962,0.988,fs_bit3
maxvit_t,Transformer,4,300,0.915,0.888,0.941,0.968,0.956,0.979,0.708,0.667,0.747,0.515,0.467,0.56,0.976,0.962,0.989,fs_bit2
maxvit_t,Transformer,8,300,0.992,0.982,0.998,0.96,0.946,0.974,0.727,0.686,0.768,0.542,0.495,0.588,0.98,0.966,0.991,fs_bit2
