classifier,arch_type,attack,label,cpop,fs,lid,lid_ext,maha,kd
resnet50,CNN,FGSM,0,-0.18648503720760345,0.7092857360839844,22.63553237915039,22.63553237915039,18.73961067199707,0.48207521438598633
resnet50,CNN,FGSM,1,-0.03150408715009689,0.37654048204421997,25.489028930664062,25.489028930664062,15.13788890838623,0.4474220275878906
resnet50,CNN,FGSM,0,-0.05653824657201767,0.3527047336101532,58.95521926879883,58.95521926879883,11.811409950256348,0.5041670799255371
resnet50,CNN,FGSM,1,-0.022959589958190918,0.2430749237537384,63.28788375854492,63.28788375854492,12.229890823364258,0.5096335411071777
resnet50,CNN,FGSM,0,-0.08879461139440536,0.15331655740737915,66.40815734863281,66.40815734863281,11.53707218170166,0.4809579849243164
resnet50,CNN,FGSM,1,-0.026305444538593292,0.24646171927452087,75.33451080322266,75.33451080322266,13.852551460266113,0.5734071731567383
resnet50,CNN,FGSM,0,-0.13924887776374817,0.1930634081363678,61.06050109863281,61.06050109863281,9.021818161010742,0.4257621765136719
resnet50,CNN,FGSM,1,-0.029717274010181427,0.49563002586364746,57.30349349975586,57.30349349975586,9.677860260009766,0.4301490783691406
resnet50,CNN,FGSM,0,-0.06980231404304504,0.29146599769592285,63.867462158203125,63.867462158203125,16.656892776489258,0.6067872047424316
resnet50,CNN,FGSM,1,-0.024563036859035492,0.30336707830429077,95.25291442871094,95.25291442871094,11.205009460449219,0.4789438247680664
resnet50,CNN,FGSM,0,-0.2848557233810425,0.45138779282569885,36.80599594116211,36.80599594116211,17.868398666381836,0.619877815246582
resnet50,CNN,FGSM,1,-0.03586529195308685,0.8195193409919739,25.111345291137695,25.111345291137695,16.966310501098633,0.47028303146362305
resnet50,CNN,FGSM,0,-0.059753403067588806,0.3619927763938904,52.05864334106445,52.05864334106445,13.60735034942627,0.4586057662963867
resnet50,CNN,FGSM,1,-0.02241886407136917,0.19855724275112152,57.7274284362793,57.7274284362793,10.744939804077148,0.4250969886779785
resnet50,CNN,FGSM,0,-0.12710867822170258,0.7152632474899292,40.74462127685547,40.74462127685547,15.608586311340332,0.6300783157348633
resnet50,CNN,FGSM,1,-0.028103306889533997,0.5656294822692871,40.816829681396484,40.816829681396484,15.305602073669434,0.567901611328125
resnet50,CNN,FGSM,0,-0.02927584946155548,0.4582073986530304,49.79301834106445,49.79301834106445,17.97936248779297,0.5550966262817383
resnet50,CNN,FGSM,1,-0.01402892917394638,0.4447551369667053,58.466575622558594,58.466575622558594,16.7258358001709,0.6438708305358887
resnet50,CNN,FGSM,0,-0.18565720319747925,0.22592893242835999,13.826743125915527,13.826743125915527,15.222399711608887,0.4096560478210449
resnet50,CNN,FGSM,1,-0.03089265525341034,0.19650517404079437,13.4281644821167,13.4281644821167,12.764470100402832,0.3698606491088867
