arch,squeezer,score,auroc
resnet50,bit1,L1,0.971
resnet50,bit1,JS,0.972
resnet50,bit2,L1,0.994
resnet50,bit2,JS,0.996
resnet50,bit4,L1,0.599
resnet50,bit4,JS,0.776
resnet50,bit5,L1,0.242
resnet50,bit5,JS,0.36
resnet50,median3,L1,0.929
resnet50,median3,JS,0.966
resnet50,median5,L1,0.985
resnet50,median5,JS,0.988
resnet50,avgpool3,L1,0.977
resnet50,avgpool3,JS,0.991
vgg16,bit1,L1,0.798
vgg16,bit1,JS,0.768
vgg16,bit2,L1,0.755
vgg16,bit2,JS,0.741
vgg16,bit4,L1,0.094
vgg16,bit4,JS,0.129
vgg16,bit5,L1,0.05
vgg16,bit5,JS,0.071
vgg16,median3,L1,0.278
vgg16,median3,JS,0.319
vgg16,median5,L1,0.725
vgg16,median5,JS,0.739
vgg16,avgpool3,L1,0.458
vgg16,avgpool3,JS,0.507
densenet121,bit1,L1,0.855
densenet121,bit1,JS,0.839
densenet121,bit2,L1,0.779
densenet121,bit2,JS,0.782
densenet121,bit4,L1,0.113
densenet121,bit4,JS,0.156
densenet121,bit5,L1,0.053
densenet121,bit5,JS,0.074
densenet121,median3,L1,0.202
densenet121,median3,JS,0.257
densenet121,median5,L1,0.63
densenet121,median5,JS,0.667
densenet121,avgpool3,L1,0.358
densenet121,avgpool3,JS,0.423
vit_b_16,bit1,L1,0.901
vit_b_16,bit1,JS,0.902
vit_b_16,bit2,L1,0.849
vit_b_16,bit2,JS,0.863
vit_b_16,bit4,L1,0.433
vit_b_16,bit4,JS,0.522
vit_b_16,bit5,L1,0.372
vit_b_16,bit5,JS,0.451
vit_b_16,median3,L1,0.62
vit_b_16,median3,JS,0.701
vit_b_16,median5,L1,0.794
vit_b_16,median5,JS,0.823
vit_b_16,avgpool3,L1,0.686
vit_b_16,avgpool3,JS,0.76
