detector,source,target,realized_fpr,tpr,self
cpop,convnext_tiny,convnext_tiny,0.05,0.2633333333333333,True
cpop,convnext_tiny,densenet121,0.05333333333333334,0.20333333333333334,False
cpop,convnext_tiny,maxvit_t,0.05333333333333334,0.25333333333333335,False
cpop,convnext_tiny,mobilenet_v3_large,0.05333333333333334,0.20666666666666667,False
cpop,convnext_tiny,resnet50,0.05333333333333334,0.24,False
cpop,convnext_tiny,swin_t,0.05333333333333334,0.31,False
cpop,convnext_tiny,vgg16,0.05,0.21666666666666667,False
cpop,convnext_tiny,vit_b_16,0.05333333333333334,0.17666666666666667,False
cpop,densenet121,convnext_tiny,0.05,0.26,False
cpop,densenet121,densenet121,0.05,0.20333333333333334,True
cpop,densenet121,maxvit_t,0.05,0.25,False
cpop,densenet121,mobilenet_v3_large,0.05333333333333334,0.20333333333333334,False
cpop,densenet121,resnet50,0.05,0.23333333333333334,False
cpop,densenet121,swin_t,0.05,0.29333333333333333,False
cpop,densenet121,vgg16,0.05,0.21333333333333335,False
cpop,densenet121,vit_b_16,0.05,0.17666666666666667,False
cpop,maxvit_t,convnext_tiny,0.05,0.26,False
cpop,maxvit_t,densenet121,0.05,0.20333333333333334,False
cpop,maxvit_t,maxvit_t,0.05,0.25333333333333335,True
cpop,maxvit_t,mobilenet_v3_large,0.05333333333333334,0.20333333333333334,False
cpop,maxvit_t,resnet50,0.05,0.23666666666666666,False
cpop,maxvit_t,swin_t,0.05,0.3,False
cpop,maxvit_t,vgg16,0.05,0.21666666666666667,False
cpop,maxvit_t,vit_b_16,0.05,0.17666666666666667,False
cpop,mobilenet_v3_large,convnext_tiny,0.05,0.25666666666666665,False
cpop,mobilenet_v3_large,densenet121,0.05,0.2,False
cpop,mobilenet_v3_large,maxvit_t,0.05,0.25,False
cpop,mobilenet_v3_large,mobilenet_v3_large,0.05,0.20333333333333334,True
cpop,mobilenet_v3_large,resnet50,0.05,0.23,False
cpop,mobilenet_v3_large,swin_t,0.05,0.29,False
cpop,mobilenet_v3_large,vgg16,0.05,0.21,False
cpop,mobilenet_v3_large,vit_b_16,0.05,0.17666666666666667,False
cpop,resnet50,convnext_tiny,0.05,0.26,False
cpop,resnet50,densenet121,0.05333333333333334,0.20333333333333334,False
cpop,resnet50,maxvit_t,0.05,0.25333333333333335,False
cpop,resnet50,mobilenet_v3_large,0.05333333333333334,0.20333333333333334,False
cpop,resnet50,resnet50,0.05,0.24,True
cpop,resnet50,swin_t,0.05,0.3,False
cpop,resnet50,vgg16,0.05,0.21666666666666667,False
cpop,resnet50,vit_b_16,0.05,0.17666666666666667,False
cpop,swin_t,convnext_tiny,0.05,0.26,False
cpop,swin_t,densenet121,0.05,0.20333333333333334,False
