probe,t,classifier,sid,label,cpop
ADM_ImageNet,1,resnet50,0,0,-0.18644867837429047
ADM_ImageNet,1,resnet50,0,1,-0.04535414278507233
ADM_ImageNet,1,resnet50,1,0,-0.05662059783935547
ADM_ImageNet,1,resnet50,1,1,-0.02999620884656906
ADM_ImageNet,1,resnet50,2,0,-0.08891142159700394
ADM_ImageNet,1,resnet50,2,1,-0.037282079458236694
ADM_ImageNet,1,resnet50,3,0,-0.13911785185337067
ADM_ImageNet,1,resnet50,3,1,-0.04220333695411682
ADM_ImageNet,1,resnet50,4,0,-0.07002910226583481
ADM_ImageNet,1,resnet50,4,1,-0.03319917619228363
ADM_ImageNet,1,resnet50,5,0,-0.28461170196533203
ADM_ImageNet,1,resnet50,5,1,-0.04916420578956604
ADM_ImageNet,1,resnet50,6,0,-0.0596344992518425
ADM_ImageNet,1,resnet50,6,1,-0.030365414917469025
ADM_ImageNet,1,resnet50,7,0,-0.12691114842891693
ADM_ImageNet,1,resnet50,7,1,-0.03924228250980377
ADM_ImageNet,1,resnet50,8,0,-0.07902758568525314
ADM_ImageNet,1,resnet50,8,1,-0.035703666508197784
ADM_ImageNet,1,resnet50,9,0,-0.02921382337808609
ADM_ImageNet,1,resnet50,9,1,-0.017632849514484406
ADM_ImageNet,1,resnet50,10,0,-0.011648789048194885
ADM_ImageNet,1,resnet50,10,1,-0.010204620659351349
ADM_ImageNet,1,resnet50,11,0,-0.12372124195098877
ADM_ImageNet,1,resnet50,11,1,-0.0435614138841629
ADM_ImageNet,1,resnet50,12,0,-0.18553778529167175
ADM_ImageNet,1,resnet50,12,1,-0.04532632976770401
ADM_ImageNet,1,resnet50,13,0,-0.15354828536510468
ADM_ImageNet,1,resnet50,13,1,-0.04594236612319946
ADM_ImageNet,1,resnet50,14,0,-0.24588274955749512
ADM_ImageNet,1,resnet50,14,1,-0.04583638906478882
ADM_ImageNet,1,resnet50,15,0,-0.08466242253780365
ADM_ImageNet,1,resnet50,15,1,-0.035465337336063385
ADM_ImageNet,1,resnet50,16,0,-0.02742881327867508
ADM_ImageNet,1,resnet50,16,1,-0.019698061048984528
ADM_ImageNet,1,resnet50,17,0,-0.11477483063936234
ADM_ImageNet,1,resnet50,17,1,-0.04141273349523544
ADM_ImageNet,1,resnet50,18,0,-0.21358145773410797
ADM_ImageNet,1,resnet50,18,1,-0.045796558260917664
ADM_ImageNet,1,resnet50,19,0,-0.12607736885547638
ADM_ImageNet,1,resnet50,19,1,-0.041390180587768555
ADM_ImageNet,1,resnet50,20,0,-0.05236613005399704
ADM_ImageNet,1,resnet50,20,1,-0.028093241155147552
ADM_ImageNet,1,resnet50,21,0,-0.1600589007139206
ADM_ImageNet,1,resnet50,21,1,-0.05106573551893234
ADM_ImageNet,1,resnet50,22,0,-0.24595333635807037
ADM_ImageNet,1,resnet50,22,1,-0.04506310820579529
ADM_ImageNet,1,resnet50,23,0,-0.05460583418607712
ADM_ImageNet,1,resnet50,23,1,-0.028828196227550507
ADM_ImageNet,1,resnet50,24,0,-0.033659398555755615
ADM_ImageNet,1,resnet50,24,1,-0.021564960479736328
ADM_ImageNet,1,resnet50,25,0,-0.09838738292455673
ADM_ImageNet,1,resnet50,25,1,-0.03747202455997467
ADM_ImageNet,1,resnet50,26,0,-0.09917382895946503
ADM_ImageNet,1,resnet50,26,1,-0.03930407017469406
ADM_ImageNet,1,resnet50,27,0,-0.04341479390859604
ADM_ImageNet,1,resnet50,27,1,-0.024607762694358826
ADM_ImageNet,1,resnet50,28,0,-0.07705971598625183
ADM_ImageNet,1,resnet50,28,1,-0.03377785533666611
ADM_ImageNet,1,resnet50,29,0,-0.13373816013336182
ADM_ImageNet,1,resnet50,29,1,-0.04060593247413635
ADM_ImageNet,1,resnet50,30,0,-0.09284466505050659
ADM_ImageNet,1,resnet50,30,1,-0.04088694602251053
ADM_ImageNet,1,resnet50,31,0,-0.16134271025657654
ADM_ImageNet,1,resnet50,31,1,-0.0536927729845047
ADM_ImageNet,1,resnet50,32,0,-0.21987666189670563
ADM_ImageNet,1,resnet50,32,1,-0.04466038942337036
ADM_ImageNet,1,resnet50,33,0,-0.6504567265510559
ADM_ImageNet,1,resnet50,33,1,-0.04830945283174515
ADM_ImageNet,1,resnet50,34,0,-0.29298245906829834
ADM_ImageNet,1,resnet50,34,1,-0.05818529427051544
ADM_ImageNet,1,resnet50,35,0,-0.04593876004219055
ADM_ImageNet,1,resnet50,35,1,-0.02618049830198288
ADM_ImageNet,1,resnet50,36,0,-0.10705304890871048
ADM_ImageNet,1,resnet50,36,1,-0.03959915041923523
ADM_ImageNet,1,resnet50,37,0,-0.09221339225769043
ADM_ImageNet,1,resnet50,37,1,-0.037144601345062256
ADM_ImageNet,1,resnet50,38,0,-0.3181842267513275
ADM_ImageNet,1,resnet50,38,1,-0.04556965082883835
