t,sigma,arch,auroc,clean_mean,adv_mean,delta
1,0.001,resnet50,0.887,-0.00876,-0.0017,-0.00706
1,0.001,vit_b_16,0.862,-0.00876,-0.00199,-0.00677
1,0.005,resnet50,0.888,-0.13571,-0.03942,-0.09629
1,0.005,vit_b_16,0.863,-0.13573,-0.04559,-0.09014
1,0.01,resnet50,0.889,-0.31722,-0.13354,-0.18367
1,0.01,vit_b_16,0.862,-0.31713,-0.15083,-0.1663
1,0.02,resnet50,0.875,-0.52888,-0.3319,-0.19698
1,0.02,vit_b_16,0.845,-0.52884,-0.36069,-0.16816
1,0.05,resnet50,0.76,-0.71489,-0.63742,-0.07747
1,0.05,vit_b_16,0.718,-0.71503,-0.65327,-0.06176
1,0.1,resnet50,0.638,-0.83638,-0.81544,-0.02094
1,0.1,vit_b_16,0.594,-0.83631,-0.82196,-0.01435
1,0.2,resnet50,0.534,-0.90208,-0.89971,-0.00237
1,0.2,vit_b_16,0.499,-0.90202,-0.90271,0.00068
1,0.5,resnet50,0.461,-0.92951,-0.93366,0.00415
1,0.5,vit_b_16,0.436,-0.92946,-0.93537,0.00591
5,0.001,resnet50,0.814,-0.00309,-0.00107,-0.00201
5,0.001,vit_b_16,0.777,-0.00309,-0.00122,-0.00187
5,0.005,resnet50,0.814,-0.06208,-0.02542,-0.03667
5,0.005,vit_b_16,0.777,-0.06209,-0.0286,-0.03349
5,0.01,resnet50,0.814,-0.17965,-0.09041,-0.08924
5,0.01,vit_b_16,0.778,-0.17966,-0.1002,-0.07947
5,0.02,resnet50,0.816,-0.39127,-0.25736,-0.13391
5,0.02,vit_b_16,0.78,-0.39119,-0.27634,-0.11485
5,0.05,resnet50,0.791,-0.6565,-0.56609,-0.09041
5,0.05,vit_b_16,0.754,-0.65641,-0.58253,-0.07389
5,0.1,resnet50,0.675,-0.78402,-0.75162,-0.03239
5,0.1,vit_b_16,0.635,-0.78422,-0.75904,-0.02518
5,0.2,resnet50,0.538,-0.87305,-0.86972,-0.00333
5,0.2,vit_b_16,0.511,-0.87309,-0.87253,-0.00056
5,0.5,resnet50,0.45,-0.91583,-0.92126,0.00543
5,0.5,vit_b_16,0.429,-0.91578,-0.92267,0.00688
20,0.001,resnet50,0.696,-0.00076,-0.00048,-0.00027
20,0.001,vit_b_16,0.671,-0.00076,-0.00051,-0.00025
20,0.005,resnet50,0.697,-0.01794,-0.01169,-0.00624
20,0.005,vit_b_16,0.671,-0.01794,-0.01226,-0.00567
20,0.01,resnet50,0.697,-0.06453,-0.044,-0.02054
20,0.01,vit_b_16,0.671,-0.06453,-0.04598,-0.01855
20,0.02,resnet50,0.698,-0.19172,-0.14399,-0.04773
20,0.02,vit_b_16,0.671,-0.19175,-0.14919,-0.04256
20,0.05,resnet50,0.699,-0.49548,-0.43444,-0.06104
20,0.05,vit_b_16,0.674,-0.49545,-0.44231,-0.05314
20,0.1,resnet50,0.681,-0.7075,-0.66733,-0.04017
20,0.1,vit_b_16,0.66,-0.70752,-0.6727,-0.03482
20,0.2,resnet50,0.586,-0.81722,-0.80419,-0.01303
20,0.2,vit_b_16,0.577,-0.81737,-0.80597,-0.0114
20,0.5,resnet50,0.488,-0.88906,-0.89122,0.00216
20,0.5,vit_b_16,0.488,-0.88903,-0.89131,0.00228
50,0.001,resnet50,0.587,-0.00026,-0.00022,-5e-05
50,0.001,vit_b_16,0.578,-0.00026,-0.00022,-4e-05
50,0.005,resnet50,0.586,-0.00641,-0.00526,-0.00115
50,0.005,vit_b_16,0.577,-0.00641,-0.00537,-0.00104
50,0.01,resnet50,0.586,-0.02461,-0.0204,-0.00421
50,0.01,vit_b_16,0.577,-0.02461,-0.0208,-0.00381
50,0.02,resnet50,0.585,-0.08581,-0.07323,-0.01258
50,0.02,vit_b_16,0.577,-0.08582,-0.07445,-0.01137
50,0.05,resnet50,0.584,-0.30813,-0.28162,-0.02651
50,0.05,vit_b_16,0.576,-0.30808,-0.28402,-0.02406
50,0.1,resnet50,0.584,-0.55259,-0.528,-0.02459
50,0.1,vit_b_16,0.577,-0.55256,-0.52992,-0.02264
50,0.2,resnet50,0.581,-0.76083,-0.74564,-0.01519
50,0.2,vit_b_16,0.574,-0.76077,-0.74692,-0.01385
50,0.5,resnet50,0.514,-0.86104,-0.85996,-0.00107
50,0.5,vit_b_16,0.514,-0.861,-0.86,-0.001
100,0.001,resnet50,0.545,-0.00012,-0.00011,-1e-05
100,0.001,vit_b_16,0.541,-0.00012,-0.00011,-1e-05
100,0.005,resnet50,0.544,-0.00294,-0.00262,-0.00032
100,0.005,vit_b_16,0.54,-0.00294,-0.00265,-0.00029
100,0.01,resnet50,0.544,-0.01151,-0.0103,-0.0012
100,0.01,vit_b_16,0.54,-0.01151,-0.01042,-0.00108
100,0.02,resnet50,0.544,-0.0426,-0.03864,-0.00396
100,0.02,vit_b_16,0.54,-0.04262,-0.03904,-0.00357
100,0.05,resnet50,0.542,-0.18582,-0.17477,-0.01105
100,0.05,vit_b_16,0.539,-0.1858,-0.17574,-0.01006
100,0.1,resnet50,0.539,-0.39805,-0.3853,-0.01275
100,0.1,vit_b_16,0.538,-0.39809,-0.38615,-0.01193
100,0.2,resnet50,0.538,-0.63893,-0.62937,-0.00956
100,0.2,vit_b_16,0.537,-0.63906,-0.62952,-0.00954
100,0.5,resnet50,0.53,-0.84591,-0.84238,-0.00353
100,0.5,vit_b_16,0.528,-0.84582,-0.84266,-0.00316
200,0.001,resnet50,0.522,-5e-05,-5e-05,-0.0
200,0.001,vit_b_16,0.521,-5e-05,-5e-05,-0.0
200,0.005,resnet50,0.522,-0.00118,-0.00111,-6e-05
200,0.005,vit_b_16,0.52,-0.00118,-0.00112,-6e-05
200,0.01,resnet50,0.522,-0.00466,-0.00441,-0.00025
200,0.01,vit_b_16,0.52,-0.00466,-0.00444,-0.00022
200,0.02,resnet50,0.522,-0.01794,-0.01705,-0.00089
200,0.02,vit_b_16,0.521,-0.01794,-0.01715,-0.00079
200,0.05,resnet50,0.522,-0.09195,-0.08876,-0.00319
200,0.05,vit_b_16,0.52,-0.09193,-0.08908,-0.00285
200,0.1,resnet50,0.518,-0.24623,-0.24137,-0.00486
200,0.1,vit_b_16,0.518,-0.24629,-0.24182,-0.00447
200,0.2,resnet50,0.516,-0.48329,-0.47866,-0.00462
200,0.2,vit_b_16,0.515,-0.48325,-0.47901,-0.00424
200,0.5,resnet50,0.517,-0.77557,-0.77315,-0.00241
200,0.5,vit_b_16,0.518,-0.77558,-0.77312,-0.00246
